[
[0,0,4.42217,4,2.98142,2.3094,2.98142,4,2.3094,2.98142,2.98142,4,],
[0,0,4,4.42217,4,2.98142,2.3094,2.98142,2.98142,4,2.3094,2.98142,],
[4.42217,4,0,0,3.26599,3.77124,3.26599,1.88562,3.77124,3.26599,3.26599,1.88562,],
[4,4.42217,0,0,1.88562,3.26599,3.77124,3.26599,3.26599,1.88562,3.77124,3.26599,],
[2.98142,4,3.26599,1.88562,0,0,4.21637,4.21637,3.26599,1.88562,3.26599,3.77124,],
[2.3094,2.98142,3.77124,3.26599,0,0,4.21637,4.21637,3.77124,3.26599,1.88562,3.26599,],
[2.98142,2.3094,3.26599,3.77124,4.21637,4.21637,0,0,1.88562,3.26599,3.77124,3.26599,],
[4,2.98142,1.88562,3.26599,4.21637,4.21637,0,0,3.26599,3.77124,3.26599,1.88562,],
[2.3094,2.98142,3.77124,3.26599,3.26599,3.77124,1.88562,3.26599,0,0,4.21637,4.21637,],
[2.98142,4,3.26599,1.88562,1.88562,3.26599,3.26599,3.77124,0,0,4.21637,4.21637,],
[2.98142,2.3094,3.26599,3.77124,3.26599,1.88562,3.77124,3.26599,4.21637,4.21637,0,0,],
[4,2.98142,1.88562,3.26599,3.77124,3.26599,3.26599,1.88562,4.21637,4.21637,0,0,],
]
